"Don't see your tags in the report? New tags are excluded by default - go to https://console.amazonaws.cn/billing/home#/preferences/tags to update your cost allocation keys."
"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","AvailabilityZone","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost","aws:autoscaling:groupName","aws:cloudformation:logical-id","aws:cloudformation:stack-id","aws:cloudformation:stack-name","user:Application","user:Function","user:Name","user:Owner","user:appenv","user:bg","user:cmdbid","user:date","user:elasticbeanstalk:environment-id","user:elasticbeanstalk:environment-name","user:id","user:name","user:test","user:type","user:workload-type"
"96993242","412764460734","425155429375","LinkedLineItem","400000000600207918","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-BoxUsage:t2.micro","RunInstances","cn-north-1a","22260534","0.106 CNY per On Demand Linux t2.micro Instance Hour","2017/03/01 00:00:00","2017/03/27 10:13:08","634.00000000","0.106","CNY","67.204000","0.000000","4.033418","VAT","71.237418","","","","","","","","","","","","","","","","","test","test",""
"96993242","412764460734","425155429375","LinkedLineItem","400000000600207919","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-BoxUsage:t2.micro","RunInstances","cn-north-1a","15975862","CNY 0.0 per Linux/UNIX (Amazon VPC), t2.medium instance-hour (or partial hour)","2017/03/27 10:13:09","2017/03/31 23:59:59","110.00000000","0.0960082","CNY","10.560902","0.000000","0.633840","VAT","11.194742","","","","","","","","","","","","","","","","","test","test",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996843-0","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-Regional-Bytes","","","12296877",".067 CNY per GB - Regional Data Transfer","2017/03/01 00:00:00","2017/03/31 23:59:59","0.00045908","0.0671332716","CNY","0.000031","0.000000","0.000000","None","0.000031","","openswanvpninstance","arn:aws-cn:cloudformation:cn-north-1:515743265704:stack/fcchinaopenswanvpn/b114faf0-0844-11e7-bab5-50fa18a33236","fcchinaopenswanvpn","","","openswanvpn","","general-prd","busspec","SRDOPENSWAN01","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996843-1","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-Regional-Bytes","","","12296877",".067 CNY per GB - Regional Data Transfer","2017/03/01 00:00:00","2017/03/31 23:59:59","0.00012490","0.0671332716","CNY","0.000008","0.000000","0.000000","None","0.000008","","","","","","","vpnmonitor","","hosting-shared","teus","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996843-2","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-Regional-Bytes","","","12296877",".067 CNY per GB - Regional Data Transfer","2017/03/01 00:00:00","2017/03/31 23:59:59","0.00227189","0.0671332716","CNY","0.000153","0.000000","0.000000","None","0.000153","","","","","","","openswanvpn","","hosting-shared","teus","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996843-3","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-Regional-Bytes","","","12296877",".067 CNY per GB - Regional Data Transfer","2017/03/01 00:00:00","2017/03/31 23:59:59","0.00004741","0.0671332716","CNY","0.000003","0.000000","0.000000","None","0.000003","","testinstance","arn:aws-cn:cloudformation:cn-north-1:515743265704:stack/fcchinatmdstestta-dta/8903dfc0-ff5e-11e6-93ae-500c954b4a4b","fcchinatmdstestta-dta","","","instancetest","","hosting-shared","teus","","","","","","","","",""
"96993242","412764460734","515743265704","LinkedLineItem","400000000559996843-4","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-Regional-Bytes","","","12296877",".067 CNY per GB - Regional Data Transfer","2017/03/01 00:00:00","2017/03/31 23:59:59","0.00000139","0.0671332716","CNY","0.000000","0.000000","0.000000","None","0.000000","","testinstance","arn:aws-cn:cloudformation:cn-north-1:515743265704:stack/fcchinatmdstestdta/52ea6410-fe8f-11e6-b5cd-500c954b4a77","fcchinatmdstestdta","","","instancetest","","hosting-shared","teus","","","","","","","","",""
"96993242","412764460734","488275793382","LinkedLineItem","400000000594063602","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","上海市徐汇区肇嘉浜路807号1902室, Shanghai, Shanghai, 200032, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-EBS:SnapshotUsage","","","22260666","0.311 CNY per GB-Month of snapshot data stored","2017/03/01 00:00:00","2017/03/31 23:59:59","21.97705072","0.3110000103","CNY","6.834863","0.000000","0.413386","VAT","7.248249","","","","","","","","","","","","","","","","","","",""
"96993242","412764460734","425155429375","LinkedLineItem","400000000601057743","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-EBS:VolumeUsage.gp2","","","22260679","0.746 CNY per GB-month of General Purpose SSD (gp2) provisioned storage","2017/03/01 00:00:00","2017/03/31 23:59:59","8.00000136","0.7459999982","CNY","5.968001","0.000000","0.360046","VAT","6.328047","","","","","","","","","","","","","","","","","","",""
"96993242","412764460734","425155429375","LinkedLineItem","400000000587291437","2017/03/01 00:00:00","2017/03/31 23:59:59","2017/04/04 03:26:20","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonSNS","Amazon Simple Notification Service","Amazon Web Services, Inc.","CNN1-DeliveryAttempts-HTTP","","","12296886","First 100,000 Amazon SNS HTTP/HTTPS Notifications per Month are Free","2017/03/01 00:00:00","2017/03/31 23:59:59","2.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","","","","","","","","",""
